company_name,direct_score,C1 initial value,c1_final_value,C1 unit,c1_initial_date,c1_final_date,c1_2_deg_final,c1_1_8_deg_final,c1_1_5_deg_final,complete_score,C2 complete level,C2 reduction,C2 initial value,c2_final_value,C2 unit,c2_initial_date,c2_final_date,c2_2_deg_final,c2_1_8_deg_final,c2_1_5_deg_final,direct_score_commitments,direct_rounding_score_commitments,E1 reduction,E1 unit,complete_score_commitments,complete_rounding_score_commitments,E2 reduction,E2 unit,direct_score_short_label,direct_score_hexa_color_code,e1_label,direct_ambition_hexa_color_code,complete_score_short_label,complete_score_hexa_color_code,e2_label,complete_ambition_hexa_color_code
Andros,1,0.0,0.0,absolu,0,0,0.0,0.0,0.0,1,1.5,0,0.0,0.0,absolu,0,0,0.0,0.0,0.0,0.0,99,0,0,0.0,99,0,0,Non publiée,#820000,n.a. (trop récente),#C00000,Non publiée,#820000,n.a. (trop récente),#C00000
Associated British Foods (alim.),5,1.0,0.8743914379209999,absolu,2016,2020,0.95,0.9,0.832,1,1.5,0,0.0,0.0,absolu,0,0,0.95,0.9,0.832,0.0,99,0,0,0.0,99,0,0,Bien moins de 2°C,#8CDF41,n.a. (trop récente),#C00000,Non publiée,#820000,n.a. (trop récente),#C00000
Bel,3,1.0,0.96059601,absolu,2016,2020,0.95,0.9,0.832,5,5.3,-0.14600000000000002,1.0,0.854,intensité,2017,2019,0.96,0.92,0.8656,5.7,5,22% ,absolu,4.7,4,28% ,intensité,Entre +2°C et +3°C,#FF8939,Bien moins de 2°C,#8CDF41,Bien moins de 2°C,#8CDF41,2°C,#FEC800
Danone,6,1.0,0.620610924483549,absolu,2015,2020,0.9375,0.875,0.79,5,5.1,-0.275,1.0,0.725,intensité,2015,2020,0.9,0.8,0.664,4.4,4,30% ,absolu,5.1,5,50% ,intensité,"1,5°C",#0DB800,2°C,#FEC800,Bien moins de 2°C,#8CDF41,Bien moins de 2°C,#8CDF41
Ecotone,6,1.0,0.6746765058859572,absolu,2010,2018,0.9,0.8,0.6639999999999999,1,1.5,0,0.0,0.0,intensité,0,0,0.0,0.0,0.0,6.1,6,55% ,absolu,3.5,3,43% ,intensité éco,"1,5°C",#0DB800,"1,5°C",#0DB800,Non publiée,#820000,Entre +2°C et +3°C,#FF8939
Ferrero,2,1.0,1.2768299409609996,absolu,2015,2019,0.95,0.9,0.832,2,2.1,0.07499999999999996,1.0,1.075,absolu,2016,2019,0.9625,0.925,0.874,5.7,5,50% ,absolu,5.6,5,43% ,intensité,Vers + 4°C,#C00000,Bien moins de 2°C,#8CDF41,Vers + 4°C,#C00000,Bien moins de 2°C,#8CDF41
General Mills,6,1.0,0.7902088213170237,absolu,2015,2020,0.9375,0.875,0.79,4,4.1,-0.17000000000000004,1.0,0.83,absolu,2010,2020,0.875,0.75,0.58,6.5,6,42% ,absolu,5.9,5,30% ,absolu,"1,5°C",#0DB800,"1,5°C",#0DB800,2°C,#FEC800,Bien moins de 2°C,#8CDF41
Hero,3,1.0,0.6796566674667555,intensité,2010,2019,0.8200000000000001,0.64,0.3952,1,1.5,0,0.0,0.0,absolu,0,0,0.0,0.0,0.0,0.0,99,0,0,0.0,99,0,0,Entre +2°C et +3°C,#FF8939,n.a. (trop récente),#C00000,Non publiée,#820000,n.a. (trop récente),#C00000
Kellogg,6,1.0,0.7132832827210002,absolu,2015,2019,0.95,0.9,0.832,3,3.6,-0.04800000000000004,1.0,0.952,absolu,2015,2019,0.95,0.9,0.832,5.2,5,47% ,absolu,4.5,4,20% ,absolu,"1,5°C",#0DB800,Bien moins de 2°C,#8CDF41,Entre +2°C et +3°C,#FF8939,2°C,#FEC800
Mars,6,1.0,0.7807489599999999,absolu,2015,2019,0.95,0.9,0.832,3,3.1,-0.020000000000000018,1.0,0.98,absolu,2015,2019,0.95,0.9,0.832,6.7,6,42% ,absolu,5.2,5,27% ,absolu,"1,5°C",#0DB800,"1,5°C",#0DB800,Entre +2°C et +3°C,#FF8939,Bien moins de 2°C,#8CDF41
Mondelez,5,1.0,0.762474816783611,absolu,2013,2020,0.9125,0.825,0.706,99,2.5,-,0.0,0.0,absolu,0,0,0.0,0.0,0.0,0.0,99,0,0,0.0,99,10% ,absolu,Bien moins de 2°C,#8CDF41,n.a. (trop récente),#C00000,n.a. (trop récente),#C00000,n.a. (trop récente),#C00000
Nestlé,6,1.0,0.6811096450432432,absolu,2014,2020,0.925,0.85,0.748,3,3.6,-0.04800000000000004,1.0,0.952,absolu,2014,2018,0.95,0.9,0.832,5.7,5,0,0,5.7,5,20% ,absolu,"1,5°C",#0DB800,Bien moins de 2°C,#8CDF41,Entre +2°C et +3°C,#FF8939,Bien moins de 2°C,#8CDF41
Pepsico,6,1.0,0.7656700978759678,absolu,2015,2020,0.9375,0.875,0.79,3,3.7,-0.050000000000000044,1.0,0.95,absolu,2015,2020,0.9375,0.875,0.79,6.1,6,75% ,absolu,5.0,5,40% ,absolu,"1,5°C",#0DB800,"1,5°C",#0DB800,Entre +2°C et +3°C,#FF8939,Bien moins de 2°C,#8CDF41
Henkel,3,1.0,0.994011992,absolu,2016,2019,0.9625,0.925,0.874,3,3.1,-0.02100000000000002,1.0,0.979,absolu,2016,2019,0.9625,0.925,0.874,6.0,6,67% ,intensité,4.3,4,30% ,intensité,Entre +2°C et +3°C,#FF8939,"1,5°C",#0DB800,Entre +2°C et +3°C,#FF8939,2°C,#FEC800
P&G,6,1.0,0.7941233704959999,absolu,2015,2019,0.95,0.9,0.832,99,2.5,-,0.0,0.0,absolu,0,0,0.0,0.0,0.0,5.3,5,50% ,absolu,0.0,99,0,0,"1,5°C",#0DB800,Bien moins de 2°C,#8CDF41,n.a. (trop récente),#C00000,n.a. (trop récente),#C00000
Unilever,6,1.0,0.570268135921,absolu,2015,2019,0.95,0.9,0.832,3,3.4,-0.052000000000000046,1.0,0.948,intensité,2015,2019,0.92,0.84,0.7312000000000001,4.9,4,100%,absolu,4.9,4,50% ,intensité,"1,5°C",#0DB800,2°C,#FEC800,Entre +2°C et +3°C,#FF8939,2°C,#FEC800
Colgate-Palmolive,6,1.0,0.8008746470559999,absolu,2015,2019,0.95,0.9,0.832,4,4.1,-0.06400000000000006,1.0,0.9359999999999999,absolu,2015,2019,0.95,0.9,0.832,6.6,6,30% ,absolu,5.7,5,30% ,absolu,"1,5°C",#0DB800,"1,5°C",#0DB800,2°C,#FEC800,Bien moins de 2°C,#8CDF41
Coty,6,1.0,0.772641,absolu,2017,2019,0.975,0.95,0.916,3,3.4,0.0020000000000000018,1.0,1.002,absolu,2017,2019,0.975,0.95,0.916,5.3,5,30% ,absolu,5.4,5,30% ,absolu,"1,5°C",#0DB800,Bien moins de 2°C,#8CDF41,Entre +2°C et +3°C,#FF8939,Bien moins de 2°C,#8CDF41
L'Oréal,6,1.0,0.7025953690000001,absolu,2016,2019,0.9625,0.925,0.874,3,3.4,-0.039000000000000035,1.0,0.961,intensité,2016,2019,0.9625,0.925,0.874,6.1,6,100%,absolu,5.1,5,50% ,intensité,"1,5°C",#0DB800,"1,5°C",#0DB800,Entre +2°C et +3°C,#FF8939,Bien moins de 2°C,#8CDF41
Shiseido,5,1.0,0.8387793908009998,absolu,2016,2020,0.95,0.9,0.832,99,2.5,-,0.0,0.0,absolu,0,0,0.0,0.0,0.0,6.5,6,40% ,absolu,0.0,99,0,0,Bien moins de 2°C,#8CDF41,"1,5°C",#0DB800,n.a. (trop récente),#C00000,n.a. (trop récente),#C00000
