,company_name,direct_score_commitments,direct_rounding_score_commitments,direct_commitments_sentence,complete_score_commitments,complete_rounding_score_commitments,complete_commitments_sentence,direct_ambition_long_label,direct_ambition_hexa_color_code,complete_ambition_long_label,complete_ambition_hexa_color_code
0,Andros,n.a.,99.0,n.a.,99.0,99.0,n.a.,Aucun engagement divulgué,#BFBFBF,Aucun engagement divulgué,#BFBFBF
1,Associated British Foods (alim.),n.a.,99.0,n.a.,99.0,99.0,n.a.,Aucun engagement divulgué,#BFBFBF,Aucun engagement divulgué,#BFBFBF
2,Bel,5.7,5.0,S'engage à réduire de 22% les émissions de son périmètre direct en 13 ans,4.7,4.0,S'engage à réduire de 28% l'empreinte carbone de ses produits en 13 ans,Ambition compatible bien moins de 2°C,#8CDF41,Ambition compatible 2°C,#FEC800
3,Danone,4.4,4.0,S'engage à réduire de 30% les émissions de son périmètre direct en 15 ans,5.1,5.0,S'engage à réduire de 50% l'empreinte carbone de ses produits en 15 ans,Ambition compatible 2°C,#FEC800,Ambition compatible bien moins de 2°C,#8CDF41
4,Ecotone,6.1,6.0,S'engage à réduire de 55% les émissions de son périmètre direct en 13 ans,3.5,3.0,S'engage à réduire de 43% l'empreinte carbone de ses revenus en 13 ans,"Ambition compatible 1,5°C",#0DB800,Ambition non compatible 2°C,#FF8939
5,Ferrero,5.7,5.0,S'engage à réduire de 50% les émissions de son périmètre direct en 12 ans,5.6,5.0,S'engage à réduire de 43% l'empreinte carbone de ses produits en 12 ans,Ambition compatible bien moins de 2°C,#8CDF41,Ambition compatible bien moins de 2°C,#8CDF41
6,General Mills,6.5,6.0,S'engage à réduire de 42% les émissions de son périmètre direct en 10 ans,5.9,5.0,S'engage à réduire de 30% les émissions de son périmètre complet en 10 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible bien moins de 2°C,#8CDF41
7,Hero,n.a.,99.0,n.a.,99.0,99.0,n.a.,Aucun engagement divulgué,#BFBFBF,Aucun engagement divulgué,#BFBFBF
8,Kellogg,5.2,5.0,S'engage à réduire de 47% les émissions de son périmètre direct en 15 ans,4.5,4.0,S'engage à réduire de 20% les émissions de son périmètre indirect en 15 ans,Ambition compatible bien moins de 2°C,#8CDF41,Ambition compatible 2°C,#FEC800
9,Mars,6.7,6.0,S'engage à réduire de 42% les émissions de son périmètre direct en 10 ans,5.2,5.0,S'engage à réduire de 27% les émissions de son périmètre complet en 10 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible bien moins de 2°C,#8CDF41
10,Mondelez,n.a.,99.0,n.a.,99.0,99.0,S'engage à réduire de 10% les émissions de son périmètre complet en 7 ans,Aucun engagement divulgué,#BFBFBF,Aucun engagement divulgué,#BFBFBF
11,Nestlé,5.7,5.0,n.a.,5.7,5.0,"S'engage à réduire de 20% les émissions de son périmètre complet en 7 ans, et de 50% d'ici 2050",Ambition compatible bien moins de 2°C,#8CDF41,Ambition compatible bien moins de 2°C,#8CDF41
12,Pepsico,6.1,6.0,S'engage à réduire de 75% les émissions de son périmètre direct en 15 ans,5.0,5.0,S'engage à réduire de 40% les émissions de sa chaine de valeur en 15 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible bien moins de 2°C,#8CDF41
13,Henkel,6.0,6.0,S'engage à réduire de 67% les émissions par produit de son périmètre direct en 15 ans,4.3,4.0,S'engage à réduire de 30% les émissions par produit liées aux achats en 17 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible 2°C,#FEC800
14,P&G,5.3,5.0,S'engage à réduire de 50% les émissions de son périmètre direct en 20 ans,99.0,99.0,n.a.,Ambition compatible bien moins de 2°C,#8CDF41,Aucun engagement divulgué,#BFBFBF
15,Unilever,4.9,4.0,S'engage à réduire de 100% les émissions de son périmètre direct en 15 ans,4.9,4.0,S'engage à réduire de 50% l'empreinte carbone de ses produits en 20 ans,Ambition compatible 2°C,#FEC800,Ambition compatible 2°C,#FEC800
16,Colgate-Palmolive,6.6,6.0,S'engage à réduire de 30% les émissions de son périmètre direct en 7 ans,5.7,5.0,S'engage à réduire de 30% en 7 ans les émissions liées à leurs achats et de 20% en 9 ans les émissions de la phase d'usage de leurs produits,"Ambition compatible 1,5°C",#0DB800,Ambition compatible bien moins de 2°C,#8CDF41
17,Coty,5.3,5.0,S'engage à réduire de 30% les émissions de son périmètre direct en 13 ans,5.4,5.0,S'engage à réduire de 30% les émissions de son périmètre complet en 13 ans,Ambition compatible bien moins de 2°C,#8CDF41,Ambition compatible bien moins de 2°C,#8CDF41
18,L'Oréal,6.1,6.0,S'engage à réduire de 100% les émissions de son périmètre direct en 9 ans,5.1,5.0,"S'engage à réduire de 50% l'empreinte carbone de ses produits en 14 ans, résultant en une réduction de 25% en absolu de ses émissions de son périmètre complet","Ambition compatible 1,5°C",#0DB800,Ambition compatible bien moins de 2°C,#8CDF41
19,Shiseido,6.5,6.0,S'engage à réduire de 40% les émissions de son périmètre direct en 7 ans,99.0,99.0,n.a.,"Ambition compatible 1,5°C",#0DB800,Aucun engagement divulgué,#BFBFBF
20,Beiersdorf,6.7,6.0,S'engage à réduire de 30% les émissions de son périmètre direct en 12 ans,4.9,4.0,S'engage à réduire de 10% les émissions de sa chaien de valeur en 10 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible 2°C,#FEC800
21,S. C. Johnson,6.9,6.0,S'engage à réduire de 80% l'intensité des émissions de son périmètre direct en 10 ans,99.0,99.0,n.a.,"Ambition compatible 1,5°C",#0DB800,Aucun engagement divulgué,#BFBFBF
22,Reckitt,6.5,6.0,S'engage à réduire de 65% les émissions de son périmètre direct en 15 ans,5.6,5.0,S'engage à réduire de 50% les émissions de son périmètre complet en 15 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible bien moins de 2°C,#8CDF41
23,GSK,6.8,6.0,S'engage à réduire de 34% les émissions de son périmètre direct en 8 ans,4.8,4.0,S'engage à réduire de 16% les émissions de son périmètre complet en 13 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible 2°C,#FEC800
24,Johnson & Johnson,6.9,6.0,S'engage à réduire de 60% les émissions de son périmètre direct en 14 ans,4.9,4.0,S'engage à réduire de 20% les émissions amont de sa chaine de valeur en 14 ans,"Ambition compatible 1,5°C",#0DB800,Ambition compatible 2°C,#FEC800
